taxon_name,description
Pittosporum wingii,"Slender, dioecious tree to  8 m high; bark with prominent lenticels; new shoots angular but obscured by a dense indumentum of uniseriate, elongated hairs initially purple-red, later golden brown, velvety. Cotyledons 2, opposite, linear, c. 13 mm long and 1 mm wide Seedling leaves immediately alternate; lamina elliptic, angular/irregularly lobed, c. 20 mm long and 11 mm wide, margin hairy, abaxial surface velvety. Adult leaves whorled, with new leaves densely silky hairy, persisting on undersurface; elliptic, 120-145 mm long, 35-55 mm wide, acuminate, mucronate, thin, venation almost penniveined; petioles 10-12 mm. Inflorescences terminal, umbelliferous panicles of unisexual flowers; main rachis 12-16 mm; peduncles 6-15 mm; sepaline bracts 10-12 mm long. Sepals 7-10 mm long, long acuminate, densely, silky golden  hairy. Petals cohering in throat, then free, creamy-white. Both male and female flowers with a basal disc and not stipitate. Male flowers cryptically perfect but functionally almost completely unisexual: anthers barely versatile, exserted, 3 mm long, ovate-ish, pollen ellipsoidal, yellow; filaments, thick, slightly tapering joining anthers in a deep, basal sinus, 7 mm long. Pistil underdeveloped, style longer than densely hairy ovary, minimal stigmatic development; few ovules. Female flowers with vestigial staminodes, without pollen barely reaching the length of the ovary. Pistil:  ovary turgid, densely hairy, style about the same length and topped by a capitate and lobed stigma; ovary incompletely bilocular with numerous ovules inserted in two rows on either side of the placentas, placentation eventually axillary. Fruits are loculicidally dehiscent, globose to elliptic capsules, 13-21 mm long, 6-15 mm diam., rarely trivalved, orange-yellow, very hairy; seeds 5-7 mm long, angular, chunky, red brown, sticky."
Persoonia longifolia,"Erect shrubs to trees 1-5 m tall. Bark lamellose-flaky. Hairs tawny to ferruginous, appressed to antrorsely spreading. Young branchlets moderately hairy. Leaves linear to narrowly elliptic to oblanceolate, 8-20 cm long, 2-16 mm wide, flat or sometimes convex, sometimes with slightly recurved margins, falcate, twisted at base through 0-90°, glabrous to sparsely hairy when immature, glabrescent. Pedicels 4-12 mm long. Tepals 10-16 mm long, acute to acuminate, moderately hairy on outside. Anther appendage absent or acute, to 1 mm long, not recurved."
Flindersia xanthoxyla,"Tree to 40 m high. Trichomes simple, fasciculate, and stellate. Leaves opposite, imparipinnate (occasional leaves paripinnate), (5-) 7-11-foliolate, 11-32 cm long, neither petiole nor rachis winged; petiolules of lateral leaflets obsolete or to 6 mm long; terminal leaflet with petiolule 8-28 mm long; laminae ovate to elliptic, or narrowly so, or falcate, usually inequilateral, (2.2-) 4-13 cm long, (0.6-) 1-3.2 cm wide, narrowly obtuse to acute or acuminate. Inflorescences 17-25 cm long. Flowers apparently exclusively bisexual. Sepals  c. 1 mm long. Petals c. 4.3 mm long, pale yellow, glabrous. Ovules 3 on each side of placental arms. Capsule 6.5-11 cm long, separating (or easily separable) into 5 distinct valves at maturity; exocarp muricate, puberulous, with excrescences to 4 mm long. Seeds (2 or) 3 on each side of much-enlarged placental arms, 3.3-5 cm long, winged at both ends. Embryo with lateral hypocotyl."
Psilocaulon,"Semi-erect to trailing perennial shrub, minutely papillose. Branches terete, appearing jointed from the persistent leaf-bases. Leaves terete, opposite on lower branches, alternate on flowering branches, partly ensheathing stem, soon falling leaving only the broad base. Flowers solitary, terminal or axillary on short shoots. Sepals 5. Petal-like staminodes many, white; stamens many. Styles 5; ovary inferior; locules 5; placentation axile. Fruit a hygroscopic capsule; valves winged along edges; expanding-keels contiguous; locules without roofs; placental tubercles absent. Seeds many, D-shaped, laterally compressed, tuberculate, brown."
Acacia imitans,"Dense, intricate, low-domed, semi-prostrate, spreading shrub 0.3-1 m high, to 3 m across. Branches grey, glabrous,; branchlets numerous, short, straight, rigid, divaricate, spinescent, often devoid of phyllodes. Phyllodes asymmetric, arcuate-oblong or widely elliptic, with upper margin straight to shallowly concave and lower margin markedly convex, some reflexed, 3.5-7 mm long, 1.5-2.5 mm wide, obtuse, excentrically mucronate with upturned mucro, subglaucous, glabrous; midrib slightly raised; lateral nerves ascending and anastomosing near margins. Inflorescences simple or sometimes a rudimentary 1-headed raceme inserted with vegetative bud on a common axis greater than 0.5 mm long; peduncles 3-4 mm long, glabrous or antrorsely appressed-puberulous; heads obloid to shortly cylindrical, 6-8 mm long, 4-5 mm diam., presumably golden. Flowers 5-merous; sepals ½-¾-united. Pods tightly coiled as in Medicago , to 7 mm long (unexpanded), with valves 3 mm wide, firmly chartaceous, glabrous. Seeds longitudinal, oblong-elliptic to ovoid, 3 mm long, dull, dark brown; aril minute, subterminal."
Goodenia stephensonii,"Erect, ±woody herb to 80 cm tall, glandular-hairy, ±viscid. Leaves cauline, linear to oblong, narrowing basally, flat or slightly recurved, ±dentate or entire; lamina 3-6 cm long, 3.5 mm wide. Flowers in racemes to 20 cm long; bracts leaf-like; peduncle 8-12 mm long; bracteoles linear, 2-3 mm long; pedicel 12-15 mm long, articulate. Sepals linear-lanceolate, c. 2 mm long. Corolla 10-15 mm long, hairy inside, with enations, auriculate; abaxial lobes 3-4 mm long; wings c. 0.5 mm wide. Indusium depressed-obovate. Ovules 10-14. Fruit cylindrical, 6 mm long; valves separated to midmark, usually entire. Seeds broadly elliptic, 2 mm long, pale yellow, aculeate."
Acacia oncinophylla subsp. oncinophylla,"Branchlets not pruinose. Phyllodes linear, mostly 8-13 cm long and 1-2 mm wide with l:w = 40-65, tapering into ±curved acute to acuminate apex, thinly coriaceous, not pruinose. Peduncles 3-5 mm long; basal bract appressed-puberulous; spikes 11-13 mm long, 5-6 mm diam., 50-60-flowered."
Acacia drepanocarpa subsp. latifolia,"Stipules 0.5-1.0 mm long. Phyllodes narrowly elliptic to ±narrowly oblanceolate, (3.5-) 4-10 cm long, 3.6-12.2 mm wide, 5-20x  as long as broad, subacute to obtuse and mucronate, with 3 (-5) raised main longitudinal nerves; minor nerves subprominent, occasionally anastomosing; gland 0.2-2 mm above pulvinus."
Derris,"Mostly lianes and scandent shrubs. Leaves pinnate or trifoliolate, imparipinnate; leaflets opposite; stipules small, caducous. Flowers in few-flowered clusters, combined into axillary or terminal pseudoracemes or pseudopanicles. Calyx cup-shaped, truncate or weakly toothed, subtended by 2 bracteoles. Petals purple, pink or white; standard obovate or circular; keel petals cohering apically. Stamens all connate into a tube with holes either side of the upper stamen at base. Ovary densely hairy; ovules 2 or few. Fruit elliptic to linear-oblong, flat, membranous to thinly coriaceous, indehiscent, winged along one or both edges. Seeds 1-6."
Cuphea carthagenensis,"Herb, erect or spreading, to 70 cm tall, ±glandular-hairy. Spreading stems rooting where touching ground. Leaves lanceolate, ovate or elliptic, scabrous; lamina 1-5.5 cm long; petiole 2-8 mm long; stipules minute. Flowers in cymes; peduncle c. 1 mm long. Hypanthium assymetric-urceolate, c. 5-7 mm long, 1.5-2.5 mm across, spurred basally sometimes terminating in a long glandular hair; appendage teeth c. 0.1 mm long. Sepals triangular-toothlike, c. 0.5 mm long. Petals 1-2 mm long, shades of purple. Stamens 11, included; posterior 2 inserted low on hypanthium; anterior 9 alternately unequal. Ovary incompletely 2-locular. Capsule globose, c. 2 mm across; dehiscence longitudinal by valves."
Ruscifolia Group,"Dense, sometimes columnar, shrubs, without deeply fissured bark. Leaves simple, flat, subpetiolate, not stem-clasping, entire; venation obscure. Inflorescence a terminal umbelliform raceme, not resprouting from old rachises in subsequent years, developing within involucre; bracts not persisting at base of inflorescence; rachis 2-4 mm long. Flowers 18-36; pedicels glabrous. Perianth curved in bud, splitting to base into 4 distinct tepals, glabrous. Pistil 4-10 mm long; pollen presenter conical or an oblique disc; gland a curved flap. Fruit solitary, erect, not retained on plant, not markedly woody, smooth, sometimes black-pusticulate, beaked, not horned, dehiscing fully or partly down one or both sides. Seed occupying almost whole valve; wing encircling seed body or narrowly and fully down both sides."
Romneya trichocalyx,Similar to Romneya coulteri but differs in: leaves to 10 cm long; calyx not or only indistinctly beaked at bud apex; sepals appressed-pubescent; petals 4-8 cm long; capsules 25-35 mm long; seeds smooth.
Aphyllorchis anomala,"Flower stem 300-550 mm tall, deep purple, shiny, fleshy, brittle, 4-20-flowered. Flowers 10-12 x  10-12 mm, white with a few purple stripes and markings. Pedicels and ovaries purple to blackish. Dorsal sepal 10-12 x  3 mm, obliquely erect, hooded or recurved. Lateral sepals 10-12 x  3 mm, obliquely deflexed, divergent. Petals 10-12 x  2 mm, obliquely erect; apex often twisted. Labellum oblong, 9-11 x  2.5 mm, unlobed, smooth; margins sometimes with two irregular short teeth; apex often twisted or bent."
Zamiaceae,"Palm-like plants with subterranean to tall and erect, usually unbranched, cylindrical stems. Stems clad with persistent leaf bases (in Australian genera). Leaves simply pinnate, spirally arranged, seasonally interspersed with cataphylls; pinnae sometimes dichotomously divided. Longitudinal ptyxis erect to inflexed or sometimes reflexed; horizontal ptyxis conduplicate. Pinnae with several subparallel, dichotomously branching, longitudinal veins, lacking a midrib; stomata on both surfaces or undersurface only; individual ptyxis flat. Trichomes coloured or transparent, branched or unbranched, short-curved or irregular. Male and female sporophylls spirally aggregated into determinate axillary cones. Female sporophylls simple, appearing peltate, with a barren stipe and an expanded and thickened lamina with 2 (rarely 3 or more) sessile, orthotropous ovules inserted on the inner (axis-facing) surface and directed inwards ('inverted'). Seeds radiospermic."
Grevillea bedggoodiana,"Prostrate to decumbent shrub to 0.5 m high. Leaves ovate, oblong or angular-obovate in general outline, 1-7 cm long, (10-) 25-35 mm wide, toothed to pinnatifid with 5-9 simple subtriangular teeth or lobes to c. 1 cm long, pungent; margins almost flat to shortly recurved; lower surface openly or occasionally densely tomentose with curled hairs. Unit conflorescence erect to decurved, secund to subsecund; floral rachis 20-65 mm long. Flower colour: perianth green becoming pale pink; style pale greenish pink becoming darker. Perianth subsericeous to tomentose outside with limb often subvillous. Pistil 12-16.5 mm long; ovary stipitate; style glabrous. Follicle 8.5-10 mm long, tomentose."
Benstonea lauterbachii,"Sparsely branched tree to 15 (-20) m high, stoloniferous; prop roots few or absent; trunk with scattered short-conic rootlets. Leaves arching, 1-3 (-12 in juveniles) m long, 10-15 cm wide, glaucous below; marginal prickles along whole length; midrib usually with prickles throughout; M-pleats with prickles near apex. Male flowers: stamens appearing free; anthers 8-18 mm long. Female inflorescence erect to pendulous, branched, with (3-) 5-9 (-15) syncarps, each subtended by a bract. Mature syncarps ovoid to obloid or obloid-ellipsoid, often somewhat trigonous when dried, 6-13 (-20) cm long, 3.5-7.5 cm diam. Drupes unilocular, free in upper third, ± obloid, 12-15 mm long excluding style, 3-4 mm diam., usually 5-angled, orange-red; style 5-6 mm long, acuminate; stigma a linear abaxial groove starting c. 1 mm below tip of style."
Dryandra falcata,"Shrub to 2.3 m, without lignotuber. Stems spreading-pubescent to loosely hirsute. Leaves: petiole 5-12 mm long, tomentose, glabrescent; lamina cuneate, undulate, serrate to pinnatipartite, 3.5-8 cm long, 15-30 mm wide, truncate to acute, mucronate, openly hirsute above and on veins below, glabrescent except in pits; margins flat or gently recurved; teeth 7-13 each side, pungently acute. Inflorescence on short lateral branchlet or terminal; involucral bracts linear to narrowly lanceolate, acute, tomentose, with apex silky-villous; innermost bracts to 15-20 mm long, rusty; flowers 110-150 per head. Perianth 30-39 mm long, bright yellow, villous above base; claw silky; limb 3-4.5 mm long, yellow (often orange in late bud), keeled, glabrous or sparsely hairy. Pistil 32-45 mm long, yellow, glabrous; pollen presenter slightly thickened, 1-1.5 mm long, smooth. Follicles ovoid, 6-7 mm long, hirsute, soft."
Thysanotus newbeyi,"Rootstock small; roots tuberous; tubers sessile, ellipsoidal, 2-3.5 cm long. Leaves annual, prostrate, flat to slightly channelled, c. 4-6 cm long, with lines of tuberculate hairs on ridges. Inflorescence paniculate, few-branched, c. 4-5 cm long, usually 1 per plant; umbels 2-flowered, pedicels 5-9 mm long, articulated c. 2 mm from base, nodding in fruit. Perianth segments 4-5 mm long. Sepals ±linear, 1.5-2 mm wide. Petals elliptic, c. 2.5 mm wide; fimbriae c. 0.5 mm long. Stamens 6; anthers dehiscing by slits, equal, c. 1.5 mm long. Style bent acutely in opposite direction to anthers, c. 2 mm long. Seeds ellipsoidal, 2 mm long, 1.5 mm diam.; aril pale straw-coloured."
Laxmannia ramosa,"Rambling stilted herb, 20 cm tall, to 70 cm wide. Leaves terete, linear, pungent, 7-22 mm long; sheath 7-10 mm long, the margin divided into coarse fimbriae. Inflorescences to 19-flowered; peduncles terete, slender, erect or decurved; outer bracts ovate-oblong, obtuse, 2-3 mm long, red-veined; inner finely divided, 1-2 mm long, translucent. Sepals 3-4 mm long, red-veined. Petals spreading, as long as sepals, white. Stamens ±3 mm long. Ovules 6."
Boronia keysii,"Erect shrub to 2 m high. Branches slightly quadrangular to terete; young shoots moderately to densely stellate-tomentose. Leaves 1-7-foliolate, 8-75 mm long, 4-40 mm wide; petiole  5-12 mm long; rachis segments 9-11 mm long; leaflets elliptic to lanceolate, attenuate, acute; terminal leaflets 15-51 mm long, 3-12 mm wide; lateral leaflets 7-23 mm long, 4-10 mm wide. Inflorescence 3-7-flowered, stellate-tomentose; peduncle 3-5 mm long; pedicels 5-15 mm long. Sepals ovate-deltate, 2.5-3.5 mm long, acuminate to acute; abaxial surface stellate-tomentose. Petals 5.5-8 mm long, pink. Filaments pilose."
Banksia ser. Grandes,"Trees or shrubs, erect or spreading. Leaves alternate, pinnatisect or pinnatipartite with large lobes; margins recurved. Inflorescence erect, cylindrical; buds losing their regular pattern well before anthesis. Perianth hirsute; tepals not awned. Pistil slender, gently curved; pollen presenter slightly thickened, small, smooth; pollen ovoid. Follicles not split at stylar point. Seed wing not notched."
