"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Ceratogyne obionoides","Stems few, erect to ascending from basal rosette, to c. 15 cm high, strigose; rosette leaves obovate, to c. 20 mm long and 4 mm wide, stem leaves (subtending capitula) smaller, both sparsely to moderately densely strigose. Capitula 2–3 mm diam. in flower, to c. 1 cm diam. in fruit; involucral bracts 3–5, 1.5–2.2 mm long; female and tubular florets both c. 3–6; ligules of female florets c. 0.5 mm long. Cypselas 3–5 mm long and wide, usually reddish at maturity, with a row of hairs on dorsal and ventral surface, and scattered over horn-like projections; hairs minutely anchor-shaped at apices. Flowers Aug.–Oct.","  ",,,,,,,,,,
"Prunus cerasus","Deciduous shrub or small tree to c. 8 m high, often suckering; young twigs glabrous. Leaves elliptic to ovate or obovate, mostly 4–8 cm long, 1.5–4 cm wide, base obtuse or rounded, apex acute to acuminate, margins crenate-serrate, glabrous, usually  with a few hairs below; petiole 5–30 mm long, glabrous. Flowers in clusters of 2–6 on short lateral shoots, appearing with or before the leaves; pedicles 10–35 mm long, glabrous. Sepals rounded, glabrous, margins glandular; petals suborbicular, white. Drupe depressed-globose, 13–20 mm diam., glabrous, bright red, flesh sour; stone subglobose, smooth. Flowers spring."," deciduous shrub or small tree to circa 8 m high, often suckering; ",,,"shrub tree","shrub tree",,,,,,
"Laurus","Trees; branchlets pubescent to subglabrous. Leaves alternate, glabrous, leathery; venation pinnate. Inflorescence axillary, on short shoots, in clusters of c. 5 flowers, subtended by an involucre of persistent bracts. Flowers unisexual (sexes on different plants), 2-merous; perianth segments in 2 whorls of 2; receptacle flat or shallow. Male flowers with 8–30 stamens, in 3 whorls; staminodes absent; anthers 2-locular, dehiscing introrsely. Female flowers with c. 4 staminodes; ovary superior. Fruit ovoid, receptacle hardly enlarged, forming a small cupule, perianth deciduous.    "," trees; ",,,"tree","trees",,,,,,
"Solanum pungetium","Sprawling short-lived perennial herb or subshrub to 150 cm high, green, pubescent with stellate hairs; prickles to 10 mm long, straight, scattered on branches, peduncles and leaves. Leaves elliptic, mostly 5–8 cm long, 2–4 cm wide, lobed, slightly discolorous, upper surface sparsely pubescent, lower surface more densely pubescent, lobes more or less triangular, margins entire or undulate; petiole 1–1.5 cm long. Inflorescences simple, 1–3-flowered; peduncle absent or very short. Flowers on pedicels 2–4 cm long, elongating slightly in fruit; calyx 5–7 mm long, accrescent in fruit, lobes narrow-triangular, 3–4 mm long; corolla campanulate-rotate, 15–20 mm long, pale purple, lobes acute-tipped; anthers 3–4 mm long. Berry globose, 25–30 mm diam., yellow; seeds 2.5–4 mm long, pale yellow-orange. Flowers mostly spring–autumn."," sprawling shortlivedperennial herb or subshrub to 150 cm high, green, pubescent with stellate hairs; ","short_lived_perennial","shortlivedperennial","herb subshrub","herb subshrub",,,,,"sprawling","sprawling"
"Aloe maculata","Plants stemless, or usually short-stemmed, freely suckering, forming dense groups. Leaves 12–20 in a dense rosette, spreading to recurved, broadly lanceolate, 13–50 cm long, 5–12 cm wide; pale green with numerous white spots, fewer spots on lower surface; margins toothed. Inflorescence simple or branched, 40–150 cm tall with condensed capitate racemes, 8–10 cm long. Bracts deltoid, to 27 mm long. Flowers spreading to pendulous, cylindrical-triquetrous; perianth segments orange-pink, 35–45 mm long, united for part of their length; anthers exserted 1–5 mm; style exserted 3–5 mm. "," plants stemless, or usually short-stemmed, freely suckering, forming dense groups. ",,,,,,,,,"dense","dense"
"Cyanothamnus anemonifolius","Erect shrub to 2.5 m high, glabrous or moderately hirsute throughout; branches glandular-warty. Leaves simple, pinnate or bipinnate, 4–18(–35) mm long, 2–25(–30) mm wide, simple leaves or leaflets narrow-cuneate to cuneate or c. ovate to obovate, 2–9(–13) mm long, 1–4(–6) mm wide, often 3-lobed, prominently glandular, concolorous; petiole 2–9(–16) mm long. Inflorescence axillary, 1–6(–9)-flowered. Sepals broad ovate, imbricate, 1.5–2.5(–3) mm long, 0.8–1.5 mm wide; petals white or pink, imbricate, midvein not raised, (3.5–)4–5.5(–6.5) mm long, persistent or deciduous; stamen filaments pilose; style hirsute, longer than minute stigma. Follicles glabrous, often with a few hairs around suture, 3–5 mm long; seed c. 2.5 mm long, black or blackish-brown, dull."," erect shrub to 2.5 m high, glabrous or moderately hirsute throughout; ",,,"shrub","shrub",,,,,"erect","erect"
"Allium","Bulbous, perennial, odorous herbs. Roots fibrous. Leaves annual or biennial, linear, flat, terete or angular, solid or hollow, entirely basal or some cauline. Inflorescence a terminal umbel subtended by a spathe of several distinct or united bracts; flowers bisexual, sometimes replaced by bulbils; perianth segments free or shortly fused, equal; stamens 6, filaments filiform to flattened, anthers dehiscing introrsely; ovary superior, 3-locular; ovules usually 2 per locule; style inserted at base of ovary, stigma minute. Fruit a membranous capsule; seeds angular, black, usually 3–6 per capsule."," bulbous, perennial, odorous herbs. ","perennial","perennial","herb","herbs",,,,,,
"Leiocarpa","Perennial herbs with glandular and/or cottony hairs. Leaves cauline, sessile, alternate, entire. Capitula solitary, terminal, pedunculate, hemispherical to turbinate; involucral bracts 2–5-seriate, equal or outer shorter, scarious, herbaceous or cartilaginous, with a narrow scarious margin; receptacle convex or conical, naked. Florets numerous, bisexual or the outer female, yellow or white; corolla deeply 5-lobed (3 or 4 in female); anthers tailed at base; style branches linear with truncate to rounded apices. Cypselas terete or somewhat compressed, with 2–4 ribs, not beaked, smooth or sparsely glandular with a few minute unicellular hairs. Pappus 1-seriate, of basally connate barbellate bristles, plumose or subplumose at apex, persistent, sometimes fewer or absent in female florets."," perennial herbs with glandular and/or cottony hairs. ","perennial","perennial","herb","herbs",,,,,,
"Austrostipa eremophila","Tufted perennial, culms erect, to 0.9 m high, nodes densely sericeous. Leaves glabrous to finely pubescent; blade mostly tightly inrolled to 30 cm long, 1.5–4 mm wide when unrolled; ligule minutely hairy abaxially, 0.5–1.5 mm long, auricles of sheath erect, to 2 mm long. Inflorescence a slender, usually dense panicle to 30 cm long. Glumes 14–23 mm long, usually purplish, narrow, acuminate, thinly membranous throughout, the lower longer by 2–5 mm than upper; lemma evenly tapered to base, slightly to distinctly constricted near the apex, 6–9 mm long, maturing to a deep golden brown, antrorsely scabrous near the apex, otherwise smooth, densely covered with appressed, shining, golden hairs, with a conspicuous patch below the apex which is either glabrous or sparsely covered by much shorter hairs, coma erect with hairs not or hardly longer than those of the body of the lemma; callus 2–4 mm long; awn twice bent, 5–10 cm long, 7–16 mm to the first bend, column shortly pubescent to almost glabrous; palea about equal to lemma, densely silky-hairy along the centre line. Flowers Sep.–Nov."," tufted perennial, culms erect, to 0.9 m high, nodes densely sericeous. ","perennial","perennial",,,,,,,"erect","erect"
"Carex alsophila","Rhizome short; shoots densely tufted. Culms erect, triquetrous, smooth or scabrous, 30–45 cm long, 1.5–2.5 mm diam. Leaves exceeding culms, to 10 mm wide, septate-nodulose (obvious when dried); sheath pale brown, often tinged red-brown; ligule acute. Inflorescence narrow, erect, 17–20 cm long, with spikes solitary at nodes; lowest involucral bracts exceeding inflorescence. Spikes sessile or short-pedunculate, distant, erect to spreading at maturity, 3–5 cm long; upper 1–4 spikes entirely male or rarely uppermost spike with female flowers above; lower spikes entirely female or with male flowers above; male glumes obtuse, hyaline and erose, pale brown, often tinged red-brown; female glumes acuminate to obtuse, often shortly mucronate, green tinged red-brown, with irregularly hyaline margins, 4–6 mm long; utricles 4–6 mm long, 1.5–2 mm diam., ovoid, strongly but irregularly few-nerved, glabrous, green, with beak 0.7–1.5 mm long, with apex notched or bifid and often minutely hispid; style 3-fid. Nut obovoid, trigonous, pale yellow. Flowers summer.","  ",,,,,,,,,,
"Diuris tricolor","Flowering plant usually 20–40 cm tall, slender to moderately stout. Leaves 1–3, linear, channelled, 20–30 cm long. Flowers 2–6, erect, yellow to orange with white and purplish suffusions; dorsal sepal obliquely erect, broadly ovate, 10–15 mm long; lateral sepals deflexed, usually parallel, narrow-linear, greatly exceeding petals, 30–65 mm long; petals obliquely erect or recurved, ovate to elliptic, tapering to base, 13–21 mm long. Labellum 3-lobed from base, 8–12 mm long; lateral lobes erect, less than half as long as mid-lobe, oblong, margins crenulate; mid-lobe keeled, shortly clawed, ovate, margins irregular, with 2 longitudinal white and purplish ridges from the base ending in tooth-like processes less than midway along lamina. Column narrowly winged. Flowers Sep.–Nov."," floweringplant usually 20–40 cm tall, slender to moderately stout. ",,,,,,,,,,
"Stackhousia aspericocca subsp. 1","Glabrous non-rhizomatous perennial to 70 cm high; stems several-many, erect or ascending, usually with some branching or at least axillary vegetative buds in upper parts. Leaves thin to rather thick, narrow-linear to lanceolate, rarely broad-elliptic, 8–15(–35) mm long, 1–2.5(–3.5) mm wide. Inflorescence a dense cylindric spike; flowers solitary at nodes, oriented all around the axis, each subtended by a bract and 2 bracteoles, all acute to acuminate, bracts c. 1–2 times as long as calyx, bracteoles conspicuous, c. half as long as bract, green. Hypanthium 0.7–1.3 mm long; sepals 1.1–2.2 mm long; corolla cream, rarely yellow, tube 5–8 mm long, lobes 2.8–5.6 mm long; gynoecium 3-partite. Mericarps usually 3, obovoid to narrow-ellipsoid, 1.9–2.5 mm long, rugose to reticulate, minutely asperate or glabrescent; basal cavity shallow. Flowers mainly Aug.–Dec."," glabrous  perennial to 70 cm high; ","perennial","perennial",,,,,,,,
"Salix Ã—mollissima","Spreading shrub to 5 m high; bark greyish, smooth, sometimes flaking; twigs subglabrous or glabrescent, lustrous, olive-brown, often initially angled, moderately fragile; buds brown, puberulous. Leaves lanceolate or linear-lanceolate, (4–)8–13 cm long, 1–1.5 cm wide, at first pubescent, soon becoming glabrous, dark shining green above, paler below and puberulous; apex long acuminate; base narrowly cuneate; margins entire or minutely glandular-serrate; stipules persistent, asymmetrically subulate-lanceolate, margins finely serrate or entire, upper surface with scattered sessile glands. Catkins 3–4 cm long, produced on short leafy lateral shoots, spreading or erect; male catkins cylindric, c. 1 cm wide, sometimes with scattered female flowers; stamens 2 or 3, filaments free; female catkins narrowly cylindrical, up to c. 5 mm wide; catkin-scales shorter than ovary; ovary flask-shaped, stalked, pubescent, sometimes becoming sparsely hairy with age. Flowers spring."," spreading shrub to 5 m high; ",,,"shrub","shrub",,,,,"spreading","spreading"
"Fimbristylis dichotoma","Tufted perennial with very short rhizome. Culms slender to rather stout, compressed, 10–75(–100) cm high, 1–2 mm diam. Leaves from much shorter than to equalling culms, 1.5–5 mm wide; ligule a dense fringe of short hairs or absent. Inflorescence simple to compound, with few to numerous spikelets, solitary or clustered, on branches to 10 cm long; involucral bracts leaf-like, 1–3 much shorter to somewhat longer than inflorescence. Spikelets ovoid, terete, acute, 4–10(–20) mm long, 2.5–3(–5) mm diam; glumes papery, obtuse, often shortly mucronate, glabrous, with faint, 3-nerved keel and nerveless or obscurely few-nerved sides, orange-brown, 2–4.5 mm long; stamens 1–3; anthers 1.3–2 mm long; style 2-fid, ciliate at least above. Nut biconvex, obovoid or broad-obovoid, shortly stipitate, smooth or sparsely and minutely verrucose, conspicuously trabeculate by 5–10 (rarely more) longitudinal ribs on each face and numerous cross-bars, glistening white to pale yellow, rarely yellow-brown, with epidermal cells transversely elliptic to oblong, 0.7–1.3 mm long, 0.6–1 mm diam. Flowers spring–summer."," tufted perennial with very short rhizome. ","perennial","perennial",,,,,,,"rhizomatous","rhizome"
"Cupressus","Erect monoecious trees or shrubs to 30 m high. Ultimate branches often flat, in 2-dimensional sprays. Leaves scale-like, decussate, completely enclosing ultimate branches, often with a resin gland near tip on abaxial surface, ultimate leaf segments usually dimorphic. Male cones terminal, solitary, sporophylls in 3–10 decussate pairs, scales imbricate, 2–6 sporangia per sporophyll. Female cones terminal, solitary, ±globular, woody, maturing in the second year; scales decussate, in 4–6 pairs, valvate, peltate; apex of scales with a short mucro. Seeds flattened, ridged, with narrow lateral wings; borne on scales, 3–20 per scale. Cotyledons 2, often with 2 alternating leaves developing at the same level."," erect monoecious trees or shrubs to 30 m high. ",,,"shrub tree","shrubs trees",,,"monoecious","monoecious","erect","erect"
